2,2,0.1,5e-09,4.8318,0.23931,0.17572,0.1218,28.188
2,2,0.2,5e-09,5.1417,0.24677,0.22812,0.21154,25.938
2,3,0.1,5e-09,4.5466,0.25749,0.13741,0.025938,29.875
2,3,0.2,5e-09,4.6795,0.26204,0.24614,0.1843,26.812
2,4,0.1,5e-09,5.4554,0.23074,0.17769,0.075004,29.188
2,4,0.2,5e-09,5.5316,0.23135,0.17095,0.063915,29.312
2.5,2,0.1,5e-09,4.7673,0.26391,0.22151,0.16601,26.25
2.5,2,0.2,5e-09,5.2823,0.2343,0.20356,0.2088,27.062
2.5,3,0.1,5e-09,5.1747,0.23506,0.14995,0.00832,30.375
2.5,3,0.2,5e-09,5.1655,0.24228,0.17595,0.12869,28.438
2.5,4,0.1,5e-09,4.757,0.25975,0.08937,-0.029068,30.938
2.5,4,0.2,5e-09,5.1807,0.24595,0.10951,-0.032258,31
3,2,0.1,5e-09,5.3967,0.24481,0.21959,0.25296,26.25
3,2,0.2,5e-09,5.2904,0.22154,0.17963,0.010638,30.375
3,3,0.1,5e-09,5.0905,0.24821,0.096359,-0.032258,31
3,3,0.2,5e-09,5.2055,0.23922,0.14475,0.021971,30.062
3,4,0.1,5e-09,3.4025,0.32445,0.04586,-0.032258,31
3,4,0.2,5e-09,3.2582,0.33786,0.026088,-0.032258,31
3.5,2,0.1,5e-09,5.1848,0.2438,0.18828,0.18384,27.5
3.5,2,0.2,5e-09,5.3246,0.23122,0.19191,0.088858,28.812
3.5,3,0.1,5e-09,4.3906,0.27905,0.064451,-0.032258,31
3.5,3,0.2,5e-09,4.3608,0.28135,0.06664,-0.032258,31
3.5,4,0.1,5e-09,3.0961,0.34548,0.019078,-0.032258,31
3.5,4,0.2,5e-09,3.0264,0.35043,0.0074163,-0.032258,31
4,2,0.1,5e-09,4.951,0.23593,0.1723,-0.0067901,30.5
4,2,0.2,5e-09,5.0693,0.2376,0.1412,0.003833,30.438
4,3,0.1,5e-09,3.5695,0.31929,0.032076,-0.032258,31
4,3,0.2,5e-09,3.9707,0.30148,0.045722,-0.032258,31
4,4,0.1,5e-09,2.7201,0.37283,2.8545e-16,-0.032258,31
4,4,0.2,5e-09,2.7502,0.3706,0.0057156,-0.032258,31
4.5,2,0.1,5e-09,5.158,0.23969,0.12406,-0.032258,31
4.5,2,0.2,5e-09,5.0882,0.24317,0.11792,-0.032258,31
4.5,3,0.1,5e-09,2.9642,0.35645,0.016829,-0.032258,31
4.5,3,0.2,5e-09,3.0802,0.34575,0.02535,-0.032258,31
4.5,4,0.1,5e-09,2.6914,0.37509,-2.268e-16,-0.032258,31
4.5,4,0.2,5e-09,2.7348,0.37103,1.3291e-16,-0.032258,31
5,2,0.1,5e-09,4.8426,0.25048,0.11249,-0.028939,30.938
5,2,0.2,5e-09,3.989,0.2992,0.056224,-0.032258,31
5,3,0.1,5e-09,2.7853,0.36705,0.006518,-0.032258,31
5,3,0.2,5e-09,2.7522,0.3696,0.0031283,-0.032258,31
5,4,0.1,5e-09,2.63,0.38148,-2.6682e-18,-0.032258,31
5,4,0.2,5e-09,2.7233,0.3714,8.3263e-17,-0.032258,31
5.5,2,0.1,5e-09,3.7371,0.3079,0.049123,-0.032258,31
5.5,2,0.2,5e-09,3.936,0.29664,0.059922,-0.032258,31
5.5,3,0.1,5e-09,2.7835,0.36696,0.0014619,-0.032258,31
5.5,3,0.2,5e-09,2.7777,0.36943,0.0048364,-0.032258,31
5.5,4,0.1,5e-09,2.5936,0.38641,-6.4646e-18,-0.032258,31
5.5,4,0.2,5e-09,2.5974,0.38547,-6.6028e-17,-0.032258,31
6,2,0.1,5e-09,4.0683,0.29795,0.043235,-0.032258,31
6,2,0.2,5e-09,3.3472,0.32784,0.038077,-0.032258,31
6,3,0.1,5e-09,2.7101,0.37268,-3.3088e-16,-0.032258,31
6,3,0.2,5e-09,2.779,0.36775,3.3536e-17,-0.032258,31
6,4,0.1,5e-09,2.6068,0.38417,-3.7446e-17,-0.032258,31
6,4,0.2,5e-09,2.5863,0.38773,2.9808e-16,-0.032258,31
6.5,2,0.1,5e-09,3.1428,0.34071,0.027687,-0.032258,31
6.5,2,0.2,5e-09,3.114,0.3446,0.011824,-0.032258,31
6.5,3,0.1,5e-09,2.6215,0.38388,1.6895e-16,-0.032258,31
6.5,3,0.2,5e-09,2.6886,0.377,8.5449e-17,-0.032258,31
6.5,4,0.1,5e-09,2.5995,0.38524,7.2675e-17,-0.032258,31
6.5,4,0.2,5e-09,2.5514,0.39255,8.9216e-17,-0.032258,31
7,2,0.1,5e-09,2.9442,0.35589,0.016758,-0.032258,31
7,2,0.2,5e-09,2.946,0.35506,0.0085641,-0.032258,31
7,3,0.1,5e-09,2.6426,0.38126,1.9383e-16,-0.032258,31
7,3,0.2,5e-09,2.6448,0.37899,1.3913e-16,-0.032258,31
7,4,0.1,5e-09,2.5364,0.39461,1.2697e-16,-0.032258,31
7,4,0.2,5e-09,2.573,0.38912,1.6069e-16,-0.032258,31
7.5,2,0.1,5e-09,2.9216,0.35948,0.0029972,-0.032258,31
7.5,2,0.2,5e-09,2.8016,0.36592,0.0029984,-0.032258,31
7.5,3,0.1,5e-09,2.6241,0.38278,-6.4842e-17,-0.032258,31
7.5,3,0.2,5e-09,2.616,0.38376,3.9027e-16,-0.032258,31
7.5,4,0.1,5e-09,2.5546,0.39178,-1.5951e-16,-0.032258,31
7.5,4,0.2,5e-09,2.565,0.39014,1.926e-16,-0.032258,31
8,2,0.1,5e-09,2.8064,0.36625,0.00075109,-0.032258,31
8,2,0.2,5e-09,2.8312,0.36428,0.0036414,-0.032258,31
8,3,0.1,5e-09,2.5905,0.38703,2.0803e-17,-0.032258,31
8,3,0.2,5e-09,2.5998,0.38593,-1.6951e-17,-0.032258,31
8,4,0.1,5e-09,2.5631,0.39037,-2.31e-17,-0.032258,31
8,4,0.2,5e-09,2.5235,0.39649,1.1646e-16,-0.032258,31
2,2,0.1,1e-08,5.3234,0.23494,0.21983,0.22869,26.188
2,2,0.2,1e-08,4.8234,0.25968,0.20804,0.11991,26.125
2,3,0.1,1e-08,5.5875,0.23307,0.18847,0.15081,28.125
2,3,0.2,1e-08,5.5178,0.23533,0.2365,0.18894,26.875
2,4,0.1,1e-08,5.23,0.23769,0.18236,0.1228,28.375
2,4,0.2,1e-08,5.2742,0.23753,0.13867,0.0044563,30.312
2.5,2,0.1,1e-08,4.6288,0.26738,0.23196,0.092788,27.062
2.5,2,0.2,1e-08,4.68,0.25341,0.19235,0.09947,27.938
2.5,3,0.1,1e-08,5.0988,0.23691,0.14495,-0.032258,31
2.5,3,0.2,1e-08,5.3575,0.24507,0.18246,0.16944,27.812
2.5,4,0.1,1e-08,4.6852,0.26114,0.0938,-0.032258,31
2.5,4,0.2,1e-08,4.452,0.27645,0.057591,-0.032258,31
3,2,0.1,1e-08,5.0919,0.23572,0.16627,0.084902,28.938
3,2,0.2,1e-08,5.3797,0.23446,0.21648,0.1989,27.5
3,3,0.1,1e-08,5.5141,0.23299,0.16796,0.078627,29.188
