1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.83942,0.0005,5e-05
0.49021,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.84231,0.001,0.0001
0.77857,0.0005,5e-05
0.90044,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.82059,0.001,0.0001
0.83348,0.0005,5e-05
0.5381,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.5615,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.66929,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.4953,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.87074,0.001,0.0001
0.45921,0.0005,5e-05
0.52842,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.92548,0.001,0.0001
1,0.0005,5e-05
0.48005,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.87523,0.001,0.0001
0.43964,0.0005,5e-05
0.59667,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.87094,0.0005,5e-05
0.50367,0.0001,1e-05
