0.050787,0.01,0.001
0.050286,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039965,0.002,0.0002
0.00019979,0.001,0.0001
9.9881e-05,0.0005,5e-05
1.9968e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050287,0.005,0.0005
0.050186,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.0003999,0.002,0.0002
0.00019983,0.001,0.0001
9.9894e-05,0.0005,5e-05
1.995e-05,0.0001,1e-05
0.050786,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050161,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039935,0.002,0.0002
0.00019989,0.001,0.0001
9.9832e-05,0.0005,5e-05
1.9982e-05,0.0001,1e-05
0.050786,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039981,0.002,0.0002
0.00019992,0.001,0.0001
9.9924e-05,0.0005,5e-05
1.997e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039973,0.002,0.0002
0.00019987,0.001,0.0001
9.9761e-05,0.0005,5e-05
1.9984e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050286,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039934,0.002,0.0002
0.00019984,0.001,0.0001
9.9928e-05,0.0005,5e-05
1.9984e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039968,0.002,0.0002
0.00019984,0.001,0.0001
9.9926e-05,0.0005,5e-05
1.9987e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039964,0.002,0.0002
0.00019981,0.001,0.0001
9.9865e-05,0.0005,5e-05
1.9992e-05,0.0001,1e-05
0.050787,0.01,0.001
0.050287,0.005,0.0005
0.050187,0.004,0.0004
0.050162,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039951,0.002,0.0002
0.00019997,0.001,0.0001
9.9931e-05,0.0005,5e-05
1.9986e-05,0.0001,1e-05
0.050786,0.01,0.001
0.050287,0.005,0.0005
0.050186,0.004,0.0004
0.050161,0.00375,0.000375
0.050137,0.0035,0.00035
0.050112,0.00325,0.000325
0.050087,0.003,0.0003
0.00039952,0.002,0.0002
0.0001999,0.001,0.0001
9.9921e-05,0.0005,5e-05
1.9983e-05,0.0001,1e-05
