1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.64899,0.0005,5e-05
0.49393,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.89308,0.001,0.0001
1,0.0005,5e-05
0.47556,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.99616,0.0005,5e-05
0.50661,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.91835,0.0005,5e-05
0.53335,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.97918,0.0005,5e-05
0.51028,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.93328,0.0005,5e-05
0.4771,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.54974,0.0005,5e-05
0.4617,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.9487,0.0005,5e-05
0.44786,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.56017,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.88324,0.0005,5e-05
0.48772,0.0001,1e-05
