1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.92826,0.0005,5e-05
0.45217,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.9454,0.0005,5e-05
0.4924,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.93835,0.0005,5e-05
0.53886,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.88321,0.001,0.0001
0.9252,0.0005,5e-05
0.4685,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.4854,0.0005,5e-05
0.59165,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.90119,0.0005,5e-05
0.51751,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.4969,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.58876,0.0005,5e-05
0.47234,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.99987,0.001,0.0001
0.93896,0.0005,5e-05
0.46759,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.59492,0.0005,5e-05
0.52505,0.0001,1e-05
