1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.70868,0.0005,5e-05
0.48897,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.98449,0.001,0.0001
0.38887,0.0005,5e-05
0.50299,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.45249,0.0005,5e-05
0.55717,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.50326,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.4934,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.90081,0.0005,5e-05
0.53074,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.59163,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.88446,0.0005,5e-05
0.51297,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.62753,0.0005,5e-05
0.51548,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.72345,0.0005,5e-05
0.49086,0.0001,1e-05
