1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.71346,0.0005,5e-05
0.46029,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.84341,0.0005,5e-05
0.55893,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.84827,0.0005,5e-05
0.45439,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.9413,0.0005,5e-05
0.52577,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.48781,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.49955,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.46109,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.51522,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.92589,0.001,0.0001
0.86508,0.0005,5e-05
0.43301,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.45956,0.0001,1e-05
