1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.461,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.93495,0.0005,5e-05
0.47578,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.85141,0.0005,5e-05
0.46929,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.50506,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.8389,0.001,0.0001
0.8061,0.0005,5e-05
0.57897,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.77721,0.0005,5e-05
0.51226,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.47695,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.55295,0.0005,5e-05
0.45855,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.51882,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.45477,0.0001,1e-05
