1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.74067,0.0005,5e-05
0.55105,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.90985,0.0005,5e-05
0.49998,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.89776,0.0005,5e-05
0.92051,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.91952,0.0005,5e-05
0.80446,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.91629,0.001,0.0001
1,0.0005,5e-05
0.77838,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.78572,0.001,0.0001
0.88937,0.0005,5e-05
0.99178,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.61245,0.0005,5e-05
0.52453,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.77506,0.001,0.0001
0.70176,0.0005,5e-05
0.87017,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.93239,0.0005,5e-05
0.49004,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.83985,0.0005,5e-05
0.76083,0.0001,1e-05
