1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.90752,0.0005,5e-05
0.49742,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.57972,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.77483,0.001,0.0001
1,0.0005,5e-05
0.59138,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.65597,0.0005,5e-05
0.52376,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.50453,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.5407,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.51558,0.0005,5e-05
0.52639,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.53955,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.91411,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.79924,0.001,0.0001
1,0.0005,5e-05
0.46484,0.0001,1e-05
