1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.54617,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.60251,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.48413,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.94649,0.001,0.0001
0.8725,0.0005,5e-05
0.46067,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.75372,0.001,0.0001
0.85081,0.0005,5e-05
0.46611,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.49694,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.94692,0.001,0.0001
0.88286,0.0005,5e-05
0.49062,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.462,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.91202,0.0005,5e-05
0.46343,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.72981,0.001,0.0001
0.74189,0.0005,5e-05
0.51244,0.0001,1e-05
