1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.39844,0.0005,5e-05
0.82643,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.62128,0.0005,5e-05
0.47204,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.79985,0.001,0.0001
0.53134,0.0005,5e-05
0.56712,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.71725,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.77138,0.001,0.0001
1,0.0005,5e-05
0.51578,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.55659,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.86465,0.0005,5e-05
0.52937,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.81485,0.0005,5e-05
0.56464,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.83332,0.0005,5e-05
0.68329,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.94412,0.0005,5e-05
0.45414,0.0001,1e-05
